Time [s],Packet ID,Address,Data,Read/Write,ACK/NAK
2.398230780000000,,\x04,,Write,NAK
2.423625240000000,0,4,+,Write,ACK
2.449024540000000,0,4,J,Write,ACK
2.449259540000000,0,COMMA,_,Write,ACK
2.449514500000000,0,COMMA,5,Write,ACK
2.474898840000000,0,4,\x01,Write,ACK
2.500298140000000,0,4,\r,Write,ACK
2.500533200000000,0,COMMA,3,Write,ACK
2.525927520000000,0,4,M,Write,ACK
2.551331780000000,0,4,\x0E,Write,ACK
2.551566760000000,0,COMMA,2,Write,ACK
2.576966060000000,0,4,B,Write,ACK
2.577216040000000,0,COMMA,1,Write,ACK
2.602605300000000,0,4,\0,Write,ACK
2.602845220000000,0,COMMA,4,Write,ACK
2.628244540000000,0,4,B,Write,ACK
2.653643840000000,0,4,\x12,Write,ACK
2.653878900000000,0,COMMA,1,Write,ACK
2.679278200000000,0,4,d,Write,ACK
2.704687440000000,0,4,V,Write,ACK
2.704922440000000,0,COMMA,_,Write,ACK
2.705172460000000,0,COMMA,5,Write,ACK
2.730556740000000,0,4,\x07,Write,ACK
2.755961040000000,0,4, ,Write,ACK
2.756200960000000,0,COMMA,y,Write,ACK
2.781600260000000,0,4,S,Write,ACK
2.806999580000000,0,4,\x05,Write,ACK
2.807234640000000,0,COMMA,5,Write,ACK
2.832633940000000,0,4,B,Write,ACK
2.832888840000000,0,COMMA,7,Write,ACK
2.858273180000000,0,4,k,Write,ACK
2.858508240000000,0,COMMA,3,Write,ACK
2.883907560000000,0,4,\x1D,Write,ACK
2.884092360000000,,\x04,,Write,NAK
2.909476900000000,0,4,\x1A,Write,ACK
2.934866220000000,0,4,1,Write,ACK
2.960255560000000,0,4,V,Write,ACK
2.985639900000000,0,4,\x05,Write,ACK
3.011024180000000,0,4,Q,Write,ACK
3.036418500000000,0,4,x,Write,ACK
3.036668460000000,0,COMMA,m,Write,ACK
3.062057800000000,0,4,\x14,Write,ACK
3.062292800000000,0,COMMA,!,Write,ACK
3.087692040000000,0,4,j,Write,ACK
3.113096280000000,0,4,\x16,Write,ACK
3.113331280000000,0,COMMA,@,Write,ACK
3.138735580000000,0,4,`,Write,ACK
3.164139840000000,0,4,Q,Write,ACK
3.164374820000000,0,COMMA,5,Write,ACK
3.164624720000000,0,COMMA,2,Write,ACK
3.190014000000000,0,4,y,Write,ACK
3.215413260000000,0,4,q,Write,ACK
3.215648240000000,0,COMMA,),Write,ACK
3.241042580000000,0,4,t,Write,ACK
3.266451800000000,0,4,%,Write,ACK
3.266686800000000,0,COMMA,#,Write,ACK
3.292086040000000,0,4, ,Write,ACK
3.292335960000000,0,COMMA,@,Write,ACK
3.317720240000000,0,4,5,Write,ACK
3.317955220000000,0,COMMA,%,Write,ACK
3.343354480000000,0,4,m,Write,ACK
3.368758720000000,0,4,d,Write,ACK
3.368993740000000,0,COMMA,},Write,ACK
3.369168540000000,,\x04,,Write,NAK
3.394563000000000,0,4,S,Write,ACK
3.419967260000000,0,4,\x16,Write,ACK
